                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 2.3066,                 1.1941,                 1.7315,                0.57426,                0.87852,                 0.7039,                0.46585,                 2.4438,                 2.1724,                 1.8128,              0.0011664,              0.0011664,              0.0011664
                     93,                 2.3822,                 1.1847,                 1.6998,                0.57426,                0.87852,                 0.7039,                0.46585,                 2.4438,                 2.1724,                 1.8128,              0.0011609,              0.0011609,              0.0011609
                     94,                 2.4642,                   1.25,                 1.7931,                0.59438,                0.61198,                0.61371,                0.39701,                 2.7098,                 3.2811,                 1.8951,              0.0011554,              0.0011554,              0.0011554
                     95,                 2.3659,                 1.1733,                 1.7343,                0.53275,                 0.6707,                0.58297,                0.39783,                 2.6069,                 3.5147,                 1.8758,              0.0011499,              0.0011499,              0.0011499
                     96,                 2.2878,                 1.2013,                 1.7122,                0.53275,                 0.6707,                0.58297,                0.39783,                 2.6069,                 3.5147,                 1.8758,              0.0011444,              0.0011444,              0.0011444
                     97,                 2.3055,                 1.3059,                 1.7027,                0.53512,                0.71965,                0.62611,                0.42732,                 2.4814,                 2.8108,                 1.8484,              0.0011389,              0.0011389,              0.0011389
                     98,                 2.3384,                 1.2447,                 1.7181,                0.53512,                0.71965,                0.62611,                0.42732,                 2.4814,                 2.8108,                 1.8484,              0.0011334,              0.0011334,              0.0011334
                     99,                 2.2748,                 1.2036,                 1.7358,                0.64354,                0.80035,                 0.7528,                0.53634,                 2.2738,                 1.9313,                 1.7871,              0.0011279,              0.0011279,              0.0011279
                    100,                 2.2374,                  1.197,                  1.718,                0.66574,                0.86737,                0.77704,                0.54968,                 2.2083,                 1.9555,                  1.773,              0.0011224,              0.0011224,              0.0011224
                    101,                 2.3976,                 1.2363,                 1.7078,                0.66574,                0.86737,                0.77704,                0.54968,                 2.2083,                 1.9555,                  1.773,              0.0011169,              0.0011169,              0.0011169
                    102,                 2.2312,                 1.1987,                  1.707,                 0.6886,                0.85241,                 0.7536,                 0.5038,                 2.4104,                  2.013,                  1.804,              0.0011114,              0.0011114,              0.0011114
                    103,                 2.3169,                 1.1855,                   1.73,                0.68683,                 0.8587,                0.75079,                0.51243,                 2.3631,                 2.0231,                  1.798,              0.0011059,              0.0011059,              0.0011059
                    104,                 2.2252,                 1.2141,                 1.7433,                0.68683,                 0.8587,                0.75079,                0.51243,                 2.3631,                 2.0231,                  1.798,              0.0011004,              0.0011004,              0.0011004
                    105,                 2.4554,                 1.2839,                  1.699,                0.67562,                0.90677,                0.74786,                0.52683,                 2.1879,                  1.899,                 1.7684,              0.0010949,              0.0010949,              0.0010949
