                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.79274,                0.40126,                0.90557,                0.83468,                0.89247,                0.89277,                0.58093,                 1.2073,                0.63514,                 1.0535,              0.0010179,              0.0010179,              0.0010179
                    120,                0.84245,                0.42888,                 0.8805,                0.83468,                0.89247,                0.89277,                0.58093,                 1.2073,                0.63514,                 1.0535,              0.0010124,              0.0010124,              0.0010124
                    121,                0.81299,                0.40934,                 0.8791,                0.85805,                 0.8871,                0.92258,                 0.6123,                 1.1759,                 0.6463,                 1.0606,              0.0010069,              0.0010069,              0.0010069
                    122,                0.74753,                0.40704,                0.88195,                0.85805,                 0.8871,                0.92258,                 0.6123,                 1.1759,                 0.6463,                 1.0606,              0.0010014,              0.0010014,              0.0010014
                    123,                0.79487,                0.43079,                0.89493,                0.85805,                 0.8871,                0.92258,                 0.6123,                 1.1759,                 0.6463,                 1.0606,             0.00099587,             0.00099587,             0.00099587
                    124,                0.77293,                0.42607,                0.87762,                0.77795,                 0.9371,                0.90742,                0.60792,                 1.1559,                0.63048,                 1.0629,             0.00099036,             0.00099036,             0.00099036
                    125,                0.78919,                0.41379,                0.91668,                0.77795,                 0.9371,                0.90742,                0.60792,                 1.1559,                0.63048,                 1.0629,             0.00098486,             0.00098486,             0.00098486
                    126,                0.75861,                0.40591,                 0.9186,                0.77795,                 0.9371,                0.90742,                0.60792,                 1.1559,                0.63048,                 1.0629,             0.00097936,             0.00097936,             0.00097936
                    127,                0.71737,                 0.3935,                0.87838,                0.79208,                0.91584,                0.90705,                0.60499,                 1.1629,                0.62864,                  1.039,             0.00097386,             0.00097386,             0.00097386
                    128,                0.70763,                0.40452,                 0.8788,                0.79208,                0.91584,                0.90705,                0.60499,                 1.1629,                0.62864,                  1.039,             0.00096836,             0.00096836,             0.00096836
                    129,                0.76621,                0.44878,                0.90084,                 0.7986,                0.91935,                0.89266,                0.60214,                  1.182,                0.65812,                 1.0406,             0.00096286,             0.00096286,             0.00096286
                    130,                0.73768,                 0.3873,                0.88391,                 0.7986,                0.91935,                0.89266,                0.60214,                  1.182,                0.65812,                 1.0406,             0.00095736,             0.00095736,             0.00095736
                    131,                 0.7525,                0.40155,                0.89153,                 0.7986,                0.91935,                0.89266,                0.60214,                  1.182,                0.65812,                 1.0406,             0.00095186,             0.00095186,             0.00095186
                    132,                 0.7446,                0.40238,                0.87424,                0.77755,                 0.9192,                0.85653,                0.58316,                 1.1736,                0.74515,                 1.0422,             0.00094636,             0.00094636,             0.00094636
                    133,                0.71821,                0.40749,                0.87972,                0.77755,                 0.9192,                0.85653,                0.58316,                 1.1736,                0.74515,                 1.0422,             0.00094085,             0.00094085,             0.00094085
                    134,                0.71085,                0.41206,                0.89026,                0.77755,                 0.9192,                0.85653,                0.58316,                 1.1736,                0.74515,                 1.0422,             0.00093535,             0.00093535,             0.00093535
                    135,                0.70011,                0.38828,                0.87084,                0.80264,                0.91603,                0.88839,                0.59336,                 1.1484,                0.69188,                 1.0349,             0.00092985,             0.00092985,             0.00092985
                    136,                0.72101,                0.37467,                0.87954,                0.80264,                0.91603,                0.88839,                0.59336,                 1.1484,                0.69188,                 1.0349,             0.00092435,             0.00092435,             0.00092435
                    137,                0.73672,                0.39124,                0.88898,                0.82684,                 0.8775,                0.87947,                0.60176,                   1.12,                0.63997,                  1.023,             0.00091885,             0.00091885,             0.00091885
                    138,                0.67578,                 0.3609,                0.88215,                0.82684,                 0.8775,                0.87947,                0.60176,                   1.12,                0.63997,                  1.023,             0.00091335,             0.00091335,             0.00091335
                    139,                0.69536,                 0.3808,                0.86804,                0.82684,                 0.8775,                0.87947,                0.60176,                   1.12,                0.63997,                  1.023,             0.00090785,             0.00090785,             0.00090785
